国家,ID,国家颜色
大海,0,#001B52
南极,1,#69A85E
智利,2,#CD69C8
阿根廷,3,#722A82
英国,4,#BB43DE
新西兰,6,#224F60
澳大利亚,7,#F58C08
乌拉圭,8,#876158
南非,9,#E6F27B
巴西第二共和国,10,#87C8B2
巴拉圭共和国,11,#37A1EC
葡萄牙,12,#AE2108
玻利维亚共和国,14,#E94620
法国,15,#46B360
秘鲁,16,#B1AEB1
比属刚果,17,#E41D7A
荷属东印度,18,#C4D797
未定义19,19,#A73190
厄瓜多尔,20,#DD7704
哥伦比亚,21,#BFC48C
委内瑞拉,23,#6F672D
英属马来西亚,24,#888548
西班牙,25,#991B6A
荷兰,26,#5D13A1
埃塞俄比亚,27,#8CDFB2
利比里亚,28,#E08030
菲律宾联邦,29,#E810AA
暹罗王国,30,#7233EF
巴拿马,32,#8BEA14
英国属印度,33,#9C35A4
哥斯达黎加,35,#A0CF3D
英属缅甸,36,#196039
尼加拉瓜,37,#59A37B
也门,40,#C212E8
萨尔瓦多,41,#9AFDAB
洪都拉斯,42,#607DDC
危地马拉,43,#AD6F43
墨西哥,44,#7E3B15
内志,45,#142AD5
马斯喀特和阿曼苏丹国,46,#7002FD
多米尼加共和国,47,#0C4E40
海地,48,#AC835E
美利坚合众国,49,#87A98A
粤系军阀,50,#36584B
古巴,52,#9185D2
未定义54,54,#A66E14
滇系军阀,55,#5C6958
桂系军阀,56,#344342
日本帝国,57,#5E7769
中华民国,58,#343862
波斯,60,#D20886
川系军阀,61,#1E3A4A
尼泊尔,62,#857E94
不丹,63,#84F7BB
西藏,64,#454839
科威特,65,#16083E
伊拉克,66,#8F9BD1
外约旦酋长国,67,#7AE4B3
阿富汗王国,68,#55A56F
巴勒斯坦托管领,69,#1CB057
马家军,70,#555162
陕西与东北军,71,#4F648B
叙利亚共和国,72,#24B1AA
黎巴嫩共和国,73,#3AD222
晋系军阀,74,#271E1E
和阗马家军,75,#866F5E
鲁系军阀,76,#B77E63
清政府,77,#E2E12C
希腊,78,#DE6EB3
苏维埃联盟,79,#20DEBE
宁夏马家军,80,#5A5F6C
奥斯曼帝国,81,#F5308E
中华人民共和国,82,#BC596D
甘肃马家军,83,#453841
意大利,84,#4D1FEB
新疆军阀,85,#6E978C
满洲国,86,#D79C8E
阿尔巴尼亚王国,87,#F4CA5B
伊利里亚,88,#C4C6A7
蒙疆,89,#C7D8B4
保加利亚沙皇国,90,#878110
加拿大自治领,91,#ED7888
蒙古汗国,92,#5FD9FD
罗马尼亚,93,#2D3429
瑞士,94,#006E12
匈牙利王国,95,#EE09EF
奥地利帝国,96,#0622CC
德意志国,97,#FADFC7
捷克斯洛伐克,98,#75696B
波兰,99,#251961
卢森堡,100,#E93461
比利时,101,#836837
爱尔兰,102,#EDC432
立陶宛,103,#1D5A6C
丹麦,104,#80FCB3
瑞典,105,#8A87ED
拉脱维亚,106,#CC6A80
挪威,108,#11225B
芬兰,109,#06389E
格陵兰岛,110,#A37623
冰岛,111,#3D6DE4
爱沙尼亚,112,#2048AD
杰拜勒舍迈尔,113,#C7AF42
哈密札萨克汗国,114,#AF6930
阿塞拜疆,115,#CCC865
格鲁吉亚,116,#D16632
山地共和国,117,#17379C
库班人民共和国,118,#C32D50
大顿河军团,119,#E2DA5B
乌克兰王国,120,#AD2F30
塞尔维亚,121,#6C2358
加利西亚-洛多梅里亚,122,#A52349
白鲁塞尼亚王国,123,#F8F0F2
希瓦汗王国,124,#C5C57A
布哈拉酋长国,125,#58B250
突厥斯坦共和国,126,#4D3FC3
